Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Gandus,SD NEGERI 149 PALEMBANG,2023-2024,81146,Negeri,721,27,24
Gandus,SD NEGERI 150 PALEMBANG,2023-2024,81146,Negeri,444,18,15
Gandus,SD NEGERI 151 PALEMBANG,2023-2024,81146,Negeri,242,12,10
Gandus,SD NEGERI 152 PALEMBANG,2023-2024,81146,Negeri,68,10,6
Gandus,SD NEGERI 153 PALEMBANG,2023-2024,81146,Negeri,72,8,6
Gandus,SD NEGERI 154 PALEMBANG,2023-2024,81146,Negeri,111,8,6
Gandus,SD NEGERI 155 PALEMBANG,2023-2024,81146,Negeri,250,14,11
Gandus,SD TUNAS TELADAN PALEMBANG,2023-2024,81146,Swasta,693,31,25
Gandus,SD ISLAM SOPIAH,2024-2025,83882,Swasta,94,6,4
Gandus,SD ISLAM TERPADU AL HIDAYAH,2024-2025,83882,Swasta,106,12,5
Gandus,SD MUHAMMADIYAH 12 PALEMBANG,2024-2025,83882,Swasta,269,14,11
Gandus,SD NEGERI 142 PALEMBANG,2024-2025,83882,Negeri,300,16,12
Gandus,SD NEGERI 143 PALEMBANG,2024-2025,83882,Negeri,720,32,24
Gandus,SD NEGERI 144 PALEMBANG,2024-2025,83882,Negeri,737,33,24
Gandus,SD NEGERI 145 PALEMBANG,2024-2025,83882,Negeri,151,9,7
Gandus,SD NEGERI 146 PALEMBANG,2024-2025,83882,Negeri,321,16,14
Gandus,SD NEGERI 147 PALEMBANG,2024-2025,83882,Negeri,346,16,12
